episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
70,Daya Accidently Insults Jethalal,"Jethalal is worried when he sees Babita tensed and believes it’s because of Iyer. Daya accidentally insults Jethalal while he is talking to Babita. Champaklal gets surprised when his old friend, Premji, and his wife reach Gokuldam and invite them for their daughter's marriage. Jethalal doesn't want to go with them and talks to Champaklal about this. Will Champaklal agree?",19 mins,28-Aug-08,"Jethalal, Daya",,Gokuldham Society,Sony SAB,2017-08-28T07:11:23Z,24223374,189819,3834
71,Champaklal Decides To Get Tapu Married,Champaklal is worried whether Tapu will run away to get married or will he seek his consent. Champaklal decides to get Tapu married and tells Daya about his decision. Daya believes Champaklal is suffering from a disease. Jethalal gets shocked when he comes to know about Tapu's marriage. What will Jethalal do?,18 mins,28-Aug-08,"Tapu, Champaklal",,,Sony SAB,2017-08-30T11:47:41Z,14891874,127578,2370
72,Tapu Decides To Marry,Jethalal gets shocked when Champaklal informs him about Tapu's marriage. He shares his problem with Taarak Mehta. He then tries to explain to Champaklal that child marriage is illegal.  Tapu has an idea while playing pretend-marriage with dolls. He decides to marry as he wants a bicycle. Tapu's friends also want to marry when they come to know about Tapu's marriage. Bhide holds Jethalal responsible for this. What will Jethalal do?,17 mins,28-Aug-08,Tapu,,,Sony SAB,2017-08-30T11:48:10Z,12289338,105760,1856
73,Sonu's Marriage Proposal For Tapu,Gokuldham Society members meet Jethalal and get furious with him for their children's problem as they want to marry. Jethalal shares his feeling with them as he is also against their marriage. Daya gets misunderstood as Bhide had come with Sonu's marriage proposal for Tapu. Champaklal gets ready to get them married. Will Champaklal succeed?,19 mins,28-Aug-08,"Tapu, Sonu",,Gokuldham Society,Sony SAB,2017-08-31T04:56:15Z,14063442,120870,2501
74,Bhide's Final Answer,Bhide and Madhavi get shocked when Champaklal and Daya meet them regarding Tapu's proposal for Sonu. Bhide gets enraged and insults Champaklal. Daya feels upset as Bhide has insulted them and rejected their marriage proposal. Bhide discusses this with Sodhi and Taarak Mehta and wants to lodge a complaint in the police station. Jethalal is also tensed as he is against Tapu's marriage. How will the problem of Tapu's marriage be solved?,19 mins,28-Aug-08,Bhide,,,Sony SAB,2017-08-31T04:59:44Z,19747205,151688,3519
75,Daya Is Excited For Tapu's Marriage,"Daya is excited about Tapu's marriage and invites Madhavi for the ceremony. All the rituals are going on and the women dance. Jethalal is tensed as he is against this marriage, making Chamapklal angry. Meanwhile, Daya and her entire family get surprised as Sundar reaches there with his neighbours. Jethalal gets shocked when he comes to know about this. How will Jethalal solve this?",19 mins,28-Aug-08,"Daya, Tapu",,,Sony SAB,2017-09-01T05:54:39Z,92653764,429196,9588
76,Gada Convinces Everybody For Tapu's Marriage,It is celebration time for the entire Gokuldham Society as the Gada family manages to convince everybody for the marriage of their child Tapu. Taarak Mehta is caught in a battle of wits. He cannot decide whether to follow his morals and avoid this child marriage or as a friend be a part of it? Watch this episode to find out Taarak's take on this?,18 mins,28-Aug-08,"Gada Family, Tapu",,Gokuldham Society,Sony SAB,2017-09-01T05:55:05Z,25561250,169281,4493
77,Tapu's Marriage Rituals,The marriage rituals are going on with full groove and everybody is supposedly very happy. The rituals are complete and a new journey will start from here. Jethalal is not happy with all this. Will he be able to solve this problem?,18 mins,28-Aug-08,Tapu,,,Sony SAB,2017-09-05T04:50:02Z,162296320,662558,12564
78,Jethalal Tensed In Tapu's Marriage,"To start a new happily married life, everyone in the family needs to be happy. But out of all people, Jethalal is the only one who is tensed. When Jethalal's life seems to be happy, there are problems galore that come his way. Sundar has left the hotel, without paying the bills and like always Jethalal has to pay it off.  The new bride at home has got problems with Jethalal snoring. Find out what happens to Jethalal now.",18 mins,28-Aug-08,"Jethalal, Tapu",,,Sony SAB,2017-09-05T04:50:37Z,47051349,264275,6459
79,Daya Has Entered A Quarrel,"Jethalal and Tapu for the first time have figured that they talk to their wives alike, have tea alike, work alike and think alike. Meanwhile, Daya has entered a quarrel with the entire society with relation to her daughter-in-law who is supposedly being targeted. What is the problem and why have the police been called?",19 mins,28-Aug-08,Daya,,Gokuldham Society,Sony PAL,2020-07-01T13:30:04Z,11421860,132999,3464
80,Jethalal Watches Tapu's Marriage,It turns out that Jethalal has been seeing a dream of Tapu's marriage for a long time and all the events have just been too disturbing for his liking. But his only fear is that these events might actually turn out to be true. Jethalal tries to fool around with the father of the girl so that he says a no for marriage. Watch this episode to find out.,19 mins,28-Aug-08,"Jethalal, Tapu",,,Sony SAB,2017-09-06T05:57:30Z,23040048,112841,2289
81,Jethalal Has Smelled Trouble,"Jethalal has smelled trouble after calling H.K. Gandhi and has taken more trouble by calling up his own father in a different voice trying to call off the wedding. Meanwhile, the two families decide that Tapu and Chutki should once at least meet each other. What will happen when they meet?",18 mins,30-Aug-08,Jethalal,,,Sony SAB,2017-09-06T05:57:52Z,14764204,83246,1867
82,Taarak Is Against Child Marriage,The Gada and the Gandhi family have decided to meet each other and Jethalal is getting tensed day by day. Taarak Mehta has been called to oppose the idea of child marriage. Will Taarak be successful?,18 mins,30-Aug-08,Mehta,,,Sony SAB,2017-09-07T09:49:55Z,14894978,98357,2199
83,Lohri Is Round The Corner,"The Gada family has finally managed to tell Gandhi, family, about the confusion and matters, are likely to be solved now.  Lohri is round the corner and the Punjabi's are in a full groove. Sodhi's family relatives have decided to visit him on Lohri. But there are more reasons for Sodhi's excitement, find out what they are and how does Roshan react to them?",18 mins,30-Aug-08,Sodhi,,,Sony SAB,2017-09-07T09:50:03Z,12611970,97950,2250
84,Sodhi Has Lied,"Sodhi likes to party all the time. But more than that, he is a family man and likes to keep his wife and children happy. Sodhi has lied at his house and gone to his friend's party. He ends up drinking a lot at the party and has not reached home till late night and Roshan is tensed. What condition is Sodhi in and what happens when he reaches Gokuldham?",19 mins,30-Aug-08,Sodhi,,Gokuldham Society,Sony SAB,2017-09-08T06:09:22Z,13120000,93223,1230
85,Drunk Roshan Singh Sodhi,Roshan Singh Sodhi has been absolutely drunk and he is not being allowed back in his house. He tries absolutely crazy things to get back in his house. Will they work? How does excessive consumption of alcohol be a problem for him? Find out in this episode.,18 mins,30-Aug-08,"Sodhi, Roshan",,,Sony SAB,2017-09-08T06:07:19Z,12843499,106918,2029
86,Sodhi's Efforts,Sodhi's efforts to seek the attention of his wife are beginning to take a new high and he has decided to not come down from the building's roof. What will happen if he does not come down? Will Roshan forgive him?,18 mins,30-Aug-08,Sodhi,,,Sony SAB,2017-09-11T04:43:44Z,17321771,128638,2585
87,Celebrations Of Lohri In Gokuldham Society,"When the festivals are around the corner, people become very excited. Sodhi's relatives from Punjab have decided to convert Gokuldham society into a mini-Punjab. The celebrations of Lohri are taking their shape. Find out how Gokuldham prepares for Lohri and Uttaran?",19 mins,30-Aug-08,Sodhi,,Gokuldham Society,Sony SAB,2017-09-11T04:43:54Z,13322911,106535,2129
88,Gokuldham Society Is In Mood For Celebrations,The entire Gokuldham society is surrounded by festivity and everyone is in the mood for celebrations. The celebrations of Uttaran are coming straight from Gujarat and Sundar has sent a parcel straight from Gujarat for the Gada family in Mumbai. Find out how these celebrations take place when a mini-India resides in Gokuldham.,19 mins,30-Aug-08,"Jethalal, Daya, Mehta, Bhide, Popatlal, Iyer, Hathi, Komal, Madhavi, Babita",,Gokuldham Society,Sony SAB,2017-09-12T04:23:24Z,53484655,327768,5506
89,Kite Flying Competition Between Jetha And Sodhi,"The festival of Makkar Sakranti is a huge success, and Gokuldam learnt a message about love. Jetha and Sodhi are having a really tight competition. It is time for the golden kite. The tensions are high and Bhide is supporting Sodhi heavily. Who will win this competition? Will anybody sit on the donkey? Find out in this episode.",18 mins,30-Aug-08,"Jethalal, Sodhi",,Gokuldham Society,Sony SAB,2017-09-12T04:23:39Z,19944950,161893,3226
90,Dr. Hathi Has Lost 30 Kilos Of Weight,"Dr Hathi has lost 30 kilos of weight, supposedly and Daya decides that her husband too should lose weight. Jethalal has to go to sleep without food and Daya has also locked the kitchen. Jetha is becoming desperate to have some food. He calls up Bhide to place an order with Madhavi. Bhide gets extremely upset with Jetha for calling him late in the night. The next morning, Jetha has no food in his tummy. How will Jetha's problems be in front of the entire society?",19 mins,30-Aug-08,Hathi,,Gokuldham Society,Sony SAB,2017-09-13T10:40:49Z,42225356,256613,5569
91,Dr. Hathi Gets Stuck In Auto Rickshaw,"Dr Hathi eats after he has gained 30 kilos of weight. The entire Gokuldham has formed a human chain to pull Dr Hathi out of the auto-rickshaw. Without any result or any ideas, they decide to pull off the rickshaw's top and take Dr Hathi out. Bhide comes up with a plan to pull him out. What is the plan? Will it be successful?",18 mins,30-Aug-08,Hathi,,Gokuldham Society,Sony SAB,2017-09-13T10:41:01Z,24837476,178249,4050
92,Clash Of Plans,"Dr Hathi tries to get customers in his clinic but is still unsuccessful. Jethalal finds himself unaware of the importance of 26th January. Bhide gets upset by the adult knowledge levels in Gokuldham Co-operative Society and decides to have a meeting for the same. The wives get together and decide to stand up for themselves in front of their husbands for their picnic plan, and the kids also decide on an alternate plan for 26th January. Whose plan is going to work?",19 mins,30-Aug-08,"Jethalal, Bhide",,Gokuldham Society,Sony SAB,2020-06-08T14:30:01Z,12706383,116898,1959
93,Taarak Declares A Cultural Dance Program,Bhide is tensed as all the women want to enjoy Republic Day on their own. Tapu and his friends want to celebrate Republic Day as they wish. Taarak Mehta tries to explain to them and declares a Cultural Dance Program on this occasion. All the couples practice for the dance competition. Who will win the competition? Find out in this episode of Taarak Mehta ka Ooltah Chashma.,19 mins,30-Aug-08,Mehta,,,Sony SAB,2017-09-14T06:32:47Z,14269749,111798,2011
94,Special Guest In Gokuldham's Cultural Dance Program,All the couples are excited as Gokuldham Society members have organized a cultural dance program on the occasion of Republic Day. Taarak Mehta welcomes their special guest and judges. Who is the special guest of the occasion?,18 mins,30-Aug-08,Mehta,,Gokuldham Society,Sony SAB,2020-06-10T14:30:03Z,6392699,57561,937
95,Winner Of Gokuldham's Cultural Dance Program,"Gokuldham Society members show their cultural performance as they have organized a cultural dance program on the occasion of Republic day. Taarak Mehta sings a song on the request of Jethalal and other society members. Jethalal and Daya have been declared the winner of the competition. But, another society member opposes the judge’s decision. Will the judges change their decision?",18 mins,30-Aug-08,"Jethalal, Daya, Mehta",,Gokuldham Society,Sony SAB,2017-09-15T05:24:09Z,15050453,79111,1360
96,Babita Suggests Jethalal To Exercise,"Taarak Mehta gets annoyed with the society members behaviour. Bhide and other society members start feeling guilty for what they have done. Jethalal gets annoyed with Daya's behaviour. Meanwhile, Champaklal gets angry at him. Babita suggests Jethalal should exercise. Daya and Champaklal get surprised with Jethalal's changed behaviour.",19 mins,30-Aug-08,"Jethalal, Babita",,Gokuldham Society,Sony SAB,2017-09-18T05:05:23Z,10068027,89018,2581
97,Jethalal Starts Dieting,"Jethalal decides to start dieting as Babita has suggested. But he could not help it after seeing delicious food for dinner. Daya and Tapu wish Jethalal would watch a movie with them as Sundar has acted in that film, but Jethalal is not ready to do so as he is excited to exercise with Babita. Tapu has a plan to make Jethalal watch the movie. What is the plan?",19 mins,30-Aug-08,Jethalal,,,Sony SAB,2017-09-18T05:05:34Z,26291200,170162,3363
